,obs_next,blockID,stage,t,trialID,reward,obs,action,is_done,tot_t,highstate,randomplanet,rewardplanet,transition,p_reward_low,p_reward_high,p_ambiguity,p_trans
0,2.0,1,0,1,1.0,0.0,0.0,1,False,1,1,,[1. 1.],[2 1],0.5,0.5,0.6,[0.4 0.4]
1,0.0,1,1,0,1.0,1.0,2.0,0,False,2,1,1.0,[0. 0.],[2 1],0.5,0.5,0.6,[0.4 0.4]
2,2.0,1,0,1,2.0,0.0,0.0,1,False,3,1,1.0,[0. 0.],[2 1],0.5,0.5,0.6,[0.4 0.4]
3,0.0,1,1,0,2.0,0.0,2.0,0,False,4,1,,[0. 1.],[2 1],0.5,0.5,0.6,[0.4 0.4]
4,2.0,1,0,1,3.0,0.0,0.0,1,False,5,1,,[0. 1.],[2 1],0.5,0.5,0.6,[0.4 0.4]
5,0.0,1,1,0,3.0,1.0,2.0,0,False,6,1,,[1. 0.],[2 2],0.5,0.5,0.6,[0.4 0.4]
6,2.0,1,0,1,4.0,0.0,0.0,1,False,7,1,,[1. 0.],[2 2],0.5,0.5,0.6,[0.4 0.4]
7,0.0,1,1,0,4.0,0.0,2.0,0,False,8,1,1.0,[1. 1.],[1 1],0.5,0.5,0.6,[0.4 0.4]
8,2.0,1,0,1,5.0,0.0,0.0,1,False,9,1,1.0,[1. 1.],[1 1],0.5,0.5,0.6,[0.4 0.4]
9,0.0,1,1,0,5.0,1.0,2.0,0,False,10,1,,[1. 0.],[1 2],0.5,0.5,0.6,[0.4 0.4]
10,1.0,1,0,1,6.0,0.0,0.0,1,False,11,1,,[1. 0.],[1 2],0.5,0.5,0.6,[0.4 0.4]
11,0.0,1,1,0,6.0,1.0,1.0,0,False,12,1,,[0. 0.],[1 1],0.5,0.5,0.6,[0.4 0.4]
12,1.0,1,0,1,7.0,0.0,0.0,1,False,13,1,,[0. 0.],[1 1],0.5,0.5,0.6,[0.4 0.4]
13,0.0,1,1,0,7.0,0.0,1.0,0,False,14,1,1.0,[0. 1.],[1 2],0.5,0.5,0.6,[0.4 0.4]
14,2.0,1,0,1,8.0,0.0,0.0,1,False,15,1,1.0,[0. 1.],[1 2],0.5,0.5,0.6,[0.4 0.4]
15,0.0,1,1,0,8.0,0.0,2.0,0,False,16,1,,[0. 1.],[1 2],0.5,0.5,0.6,[0.4 0.4]
16,1.0,1,0,1,9.0,0.0,0.0,1,False,17,1,,[0. 1.],[1 2],0.5,0.5,0.6,[0.4 0.4]
17,0.0,1,1,0,9.0,0.0,1.0,0,False,18,1,,[0. 0.],[2 2],0.5,0.5,0.6,[0.4 0.4]
18,2.0,1,0,1,10.0,0.0,0.0,2,False,19,1,,[0. 0.],[2 2],0.5,0.5,0.6,[0.4 0.4]
19,0.0,1,1,0,10.0,0.0,2.0,0,False,20,1,0.0,[1. 0.],[1 1],0.5,0.5,0.6,[0.4 0.4]
