,obs_next,blockID,stage,t,trialID,reward,obs,action,is_done,tot_t,highstate,randomplanet,rewardplanet,transition,p_reward_low,p_reward_high,p_ambiguity,p_trans
0,2.0,1,0,1,1.0,0.0,0.0,1,False,1,0,1.0,[1. 0.],[1 2],0.19999999999999996,0.8,0.4,[0.2 0.2]
1,0.0,1,1,0,1.0,1.0,2.0,0,False,2,0,,[1. 0.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
2,2.0,1,0,1,2.0,0.0,0.0,1,False,3,0,,[1. 0.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
3,0.0,1,1,0,2.0,0.0,2.0,0,False,4,0,,[1. 0.],[2 2],0.19999999999999996,0.8,0.4,[0.2 0.2]
4,2.0,1,0,1,3.0,0.0,0.0,1,False,5,0,,[1. 0.],[2 2],0.19999999999999996,0.8,0.4,[0.2 0.2]
5,0.0,1,1,0,3.0,0.0,2.0,0,False,6,0,,[1. 0.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
6,1.0,1,0,1,4.0,0.0,0.0,2,False,7,0,,[1. 0.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
7,0.0,1,1,0,4.0,1.0,1.0,0,False,8,0,,[1. 0.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
8,1.0,1,0,1,5.0,0.0,0.0,2,False,9,0,,[1. 0.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
9,0.0,1,1,0,5.0,1.0,1.0,0,False,10,0,,[0. 0.],[1 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
10,1.0,1,0,1,6.0,0.0,0.0,2,False,11,0,,[0. 0.],[1 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
11,0.0,1,1,0,6.0,0.0,1.0,0,False,12,0,,[1. 0.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
12,1.0,1,0,1,7.0,0.0,0.0,2,False,13,0,,[1. 0.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
13,0.0,1,1,0,7.0,1.0,1.0,0,False,14,0,0.0,[1. 0.],[1 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
14,1.0,1,0,1,8.0,0.0,0.0,2,False,15,0,0.0,[1. 0.],[1 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
15,0.0,1,1,0,8.0,1.0,1.0,0,False,16,0,,[0. 0.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
16,1.0,1,0,1,9.0,0.0,0.0,2,False,17,0,,[0. 0.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
17,0.0,1,1,0,9.0,0.0,1.0,0,False,18,0,,[1. 1.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
18,1.0,1,0,1,10.0,0.0,0.0,2,False,19,0,,[1. 1.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
19,0.0,1,1,0,10.0,1.0,1.0,0,False,20,0,0.0,[0. 0.],[1 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
20,1.0,1,0,1,11.0,0.0,0.0,2,False,21,0,0.0,[0. 0.],[1 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
21,0.0,1,1,0,11.0,0.0,1.0,0,False,22,0,1.0,[1. 0.],[1 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
22,2.0,1,0,1,12.0,0.0,0.0,2,False,23,0,1.0,[1. 0.],[1 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
23,0.0,1,1,0,12.0,1.0,2.0,0,False,24,0,0.0,[1. 0.],[1 2],0.19999999999999996,0.8,0.4,[0.2 0.2]
24,1.0,1,0,1,13.0,0.0,0.0,2,False,25,0,0.0,[1. 0.],[1 2],0.19999999999999996,0.8,0.4,[0.2 0.2]
25,0.0,1,1,0,13.0,0.0,1.0,0,False,26,0,,[1. 1.],[1 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
26,1.0,1,0,1,14.0,0.0,0.0,2,False,27,0,,[1. 1.],[1 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
27,0.0,1,1,0,14.0,1.0,1.0,0,False,28,0,0.0,[1. 1.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
28,1.0,1,0,1,15.0,0.0,0.0,2,False,29,0,0.0,[1. 1.],[2 1],0.19999999999999996,0.8,0.4,[0.2 0.2]
29,0.0,1,1,0,15.0,1.0,1.0,0,False,30,0,1.0,[0. 1.],[2 2],0.19999999999999996,0.8,0.4,[0.2 0.2]
30,2.0,1,0,1,16.0,0.0,0.0,2,False,31,0,1.0,[0. 1.],[2 2],0.19999999999999996,0.8,0.4,[0.2 0.2]
