,time_task,time_trial,state,obs,count_trial,count_block,p_trans,dominant_trans,high_state,planet,action,is_error,reward,transition,rewardplanet,randomplanet,p_reward_high,p_reward_low,p_ambiguity,p_switch_reward,p_switch_transition,ps_high_state,ps_low_state,ps_common_trans,ps_ambiguity,is_random_common0,spaceship
0,1,1,stage1,0.0,0,0,"[0.0, 0.0]",2,1,,1,False,0.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,
0,2,1,stage1,1.0,1,0,"[0.0, 0.0]",2,1,0,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,1
0,3,1,stage1,2.0,2,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,4,1,stage1,2.0,3,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 0.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,5,1,stage1,2.0,4,0,"[0.0, 0.0]",2,1,1,0,False,0.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,6,1,stage1,2.0,5,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,7,1,stage1,2.0,6,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,8,1,stage1,2.0,7,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[1. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,9,1,stage1,2.0,8,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,10,1,stage1,2.0,9,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,11,1,stage1,2.0,10,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,12,1,stage1,2.0,11,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,13,1,stage1,2.0,12,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,14,1,stage1,2.0,13,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,15,1,stage1,2.0,14,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,16,1,stage1,2.0,15,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,17,1,stage1,2.0,16,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[1. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,18,1,stage1,2.0,17,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,19,1,stage1,2.0,18,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,20,1,stage1,2.0,19,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[1. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,21,1,stage1,2.0,20,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,22,1,stage1,2.0,21,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,23,1,stage1,2.0,22,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,24,1,stage1,2.0,23,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,25,1,stage1,2.0,24,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,26,1,stage1,2.0,25,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[1. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,27,1,stage1,2.0,26,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
0,28,1,stage1,2.0,27,0,"[0.0, 0.0]",2,1,1,0,False,1.0,[1 0],[0. 1.],,0.8,0.19999999999999996,0.0,0.02,0,0.8,,1.0,0.0,True,0
