,blockID,obs_next,trialID,tot_t,reward,obs,action,stage,is_done,t,transition,highstate,randomplanet,rewardplanet,p_reward_high,p_reward_low,p_trans,p_ambiguity
19,1,0.0,10.0,20,1.0,1.0,0,1,False,0,[1 1],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
20,1,2.0,11.0,21,0.0,0.0,2,0,False,1,[1 1],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
21,1,0.0,11.0,22,0.0,2.0,0,1,False,0,[2 2],1,,[1. 0.],0.6,0.4,[0.2 0.2],0.6
22,1,2.0,12.0,23,0.0,0.0,2,0,False,1,[2 2],1,,[1. 0.],0.6,0.4,[0.2 0.2],0.6
23,1,0.0,12.0,24,0.0,2.0,0,1,False,0,[2 1],1,0.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
24,1,1.0,13.0,25,0.0,0.0,1,0,False,1,[2 1],1,0.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
25,1,0.0,13.0,26,1.0,1.0,0,1,False,0,[2 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
26,1,2.0,14.0,27,0.0,0.0,1,0,False,1,[2 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
27,1,0.0,14.0,28,1.0,2.0,0,1,False,0,[2 2],1,0.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
28,1,1.0,15.0,29,0.0,0.0,1,0,False,1,[2 2],1,0.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
29,1,0.0,15.0,30,1.0,1.0,0,1,False,0,[1 2],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
30,1,1.0,16.0,31,0.0,0.0,1,0,False,1,[1 2],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
31,1,0.0,16.0,32,0.0,1.0,0,1,False,0,[2 1],1,0.0,[1. 0.],0.6,0.4,[0.2 0.2],0.6
32,1,1.0,17.0,33,0.0,0.0,1,0,False,1,[2 1],1,0.0,[1. 0.],0.6,0.4,[0.2 0.2],0.6
33,1,0.0,17.0,34,0.0,1.0,0,1,False,0,[2 1],1,,[1. 1.],0.6,0.4,[0.2 0.2],0.6
34,1,2.0,18.0,35,0.0,0.0,1,0,False,1,[2 1],1,,[1. 1.],0.6,0.4,[0.2 0.2],0.6
35,1,0.0,18.0,36,1.0,2.0,0,1,False,0,[2 1],1,0.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
36,1,1.0,19.0,37,0.0,0.0,1,0,False,1,[2 1],1,0.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
37,1,0.0,19.0,38,1.0,1.0,0,1,False,0,[2 1],1,,[0. 0.],0.6,0.4,[0.2 0.2],0.6
38,1,2.0,20.0,39,0.0,0.0,1,0,False,1,[2 1],1,,[0. 0.],0.6,0.4,[0.2 0.2],0.6
39,1,0.0,20.0,40,0.0,2.0,0,1,False,0,[2 1],1,0.0,[0. 0.],0.6,0.4,[0.2 0.2],0.6
40,1,1.0,21.0,41,0.0,0.0,1,0,False,1,[2 1],1,0.0,[0. 0.],0.6,0.4,[0.2 0.2],0.6
41,1,0.0,21.0,42,0.0,1.0,0,1,False,0,[2 2],1,1.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
42,1,2.0,22.0,43,0.0,0.0,1,0,False,1,[2 2],1,1.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
43,1,0.0,22.0,44,1.0,2.0,0,1,False,0,[2 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
44,1,2.0,23.0,45,0.0,0.0,1,0,False,1,[2 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
45,1,0.0,23.0,46,1.0,2.0,0,1,False,0,[2 2],1,1.0,[0. 0.],0.6,0.4,[0.2 0.2],0.6
46,1,2.0,24.0,47,0.0,0.0,1,0,False,1,[2 2],1,1.0,[0. 0.],0.6,0.4,[0.2 0.2],0.6
