,blockID,obs,t,stage,tot_t,is_done,action,obs_next,reward,trialID,randomplanet,rewardplanet,transition,highstate,p_ambiguity,p_reward_high,p_trans,p_reward_low
0,1,0.0,0,1,1,False,0,2.0,0.0,1,,[0. 0.],[2 1],0,0.0,0.5,[0. 0.],0.5
1,1,2.0,0,1,2,False,1,1.0,0.0,2,,[1. 0.],[2 1],0,0.0,0.5,[0. 0.],0.5
2,1,1.0,0,1,3,False,1,1.0,1.0,3,,[1. 0.],[2 1],0,0.0,0.5,[0. 0.],0.5
3,1,1.0,0,1,4,False,1,1.0,1.0,4,,[1. 1.],[2 1],0,0.0,0.5,[0. 0.],0.5
4,1,1.0,0,1,5,False,1,1.0,1.0,5,,[0. 0.],[2 1],0,0.0,0.5,[0. 0.],0.5
5,1,1.0,0,1,6,False,1,1.0,0.0,6,,[1. 1.],[2 1],0,0.0,0.5,[0. 0.],0.5
6,1,1.0,0,1,7,False,1,1.0,1.0,7,,[0. 0.],[2 1],0,0.0,0.5,[0. 0.],0.5
7,1,1.0,0,1,8,False,1,1.0,0.0,8,,[1. 1.],[2 1],0,0.0,0.5,[0. 0.],0.5
8,1,1.0,0,1,9,False,1,1.0,1.0,9,,[1. 0.],[2 1],0,0.0,0.5,[0. 0.],0.5
9,1,1.0,0,1,10,False,1,1.0,1.0,10,,[0. 0.],[2 1],0,0.0,0.5,[0. 0.],0.5
10,1,1.0,0,1,11,False,1,1.0,0.0,11,,[1. 1.],[2 1],0,0.0,0.5,[0. 0.],0.5
11,1,1.0,0,1,12,False,1,1.0,1.0,12,,[1. 0.],[2 1],0,0.0,0.5,[0. 0.],0.5
12,1,1.0,0,1,13,False,1,1.0,1.0,13,,[0. 0.],[2 1],1,0.0,0.5,[0. 0.],0.5
13,1,1.0,0,1,14,False,1,1.0,0.0,14,,[1. 0.],[2 1],1,0.0,0.5,[0. 0.],0.5
14,1,1.0,0,1,15,False,1,1.0,1.0,15,,[1. 1.],[2 1],1,0.0,0.5,[0. 0.],0.5
15,1,1.0,0,1,16,False,1,1.0,1.0,16,,[1. 1.],[2 1],1,0.0,0.5,[0. 0.],0.5
16,1,1.0,0,1,17,False,1,1.0,1.0,17,,[1. 1.],[2 1],1,0.0,0.5,[0. 0.],0.5
