,obs,tot_t,stage,is_done,obs_next,reward,action,blockID,trialID,t,transition,randomplanet,rewardplanet,highstate,p_ambiguity,p_trans,p_reward_high,p_reward_low
0,0.0,1,1,False,2.0,1.0,0,1,1,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
1,2.0,2,1,False,2.0,0.0,0,1,2,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
2,2.0,3,1,False,1.0,0.0,1,1,3,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
3,1.0,4,1,False,2.0,1.0,0,1,4,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
4,2.0,5,1,False,2.0,0.0,0,1,5,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
5,2.0,6,1,False,2.0,1.0,0,1,6,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
6,2.0,7,1,False,2.0,1.0,0,1,7,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
7,2.0,8,1,False,2.0,1.0,0,1,8,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
8,2.0,9,1,False,2.0,1.0,0,1,9,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
9,2.0,10,1,False,2.0,0.0,0,1,10,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
10,2.0,11,1,False,2.0,1.0,0,1,11,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
11,2.0,12,1,False,2.0,0.0,0,1,12,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
12,2.0,13,1,False,2.0,0.0,0,1,13,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
13,2.0,14,1,False,1.0,0.0,1,1,14,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
14,1.0,15,1,False,2.0,0.0,0,1,15,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
15,2.0,16,1,False,1.0,0.0,1,1,16,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
16,1.0,17,1,False,2.0,0.0,0,1,17,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
17,2.0,18,1,False,2.0,0.0,0,1,18,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
18,2.0,19,1,False,1.0,1.0,1,1,19,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
19,1.0,20,1,False,1.0,0.0,1,1,20,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
20,1.0,21,1,False,1.0,0.0,1,1,21,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
21,1.0,22,1,False,1.0,1.0,1,1,22,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
22,1.0,23,1,False,1.0,0.0,1,1,23,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
23,1.0,24,1,False,1.0,0.0,1,1,24,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
24,1.0,25,1,False,2.0,0.0,0,1,25,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
25,2.0,26,1,False,1.0,1.0,1,1,26,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
