,obs,tot_t,stage,is_done,obs_next,reward,action,blockID,trialID,t,transition,randomplanet,rewardplanet,highstate,p_ambiguity,p_trans,p_reward_high,p_reward_low
26,1.0,27,1,False,1.0,1.0,1,1,27,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
27,1.0,28,1,False,1.0,1.0,1,1,28,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
28,1.0,29,1,False,1.0,1.0,1,1,29,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
29,1.0,30,1,False,1.0,1.0,1,1,30,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
30,1.0,31,1,False,1.0,1.0,1,1,31,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
31,1.0,32,1,False,1.0,1.0,1,1,32,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
32,1.0,33,1,False,1.0,1.0,1,1,33,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
33,1.0,34,1,False,1.0,0.0,1,1,34,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
34,1.0,35,1,False,1.0,0.0,1,1,35,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
35,1.0,36,1,False,1.0,1.0,1,1,36,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
36,1.0,37,1,False,1.0,1.0,1,1,37,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
37,1.0,38,1,False,1.0,1.0,1,1,38,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
38,1.0,39,1,False,1.0,0.0,1,1,39,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
39,1.0,40,1,False,1.0,1.0,1,1,40,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
40,1.0,41,1,False,1.0,1.0,1,1,41,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
41,1.0,42,1,False,1.0,0.0,1,1,42,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
42,1.0,43,1,False,1.0,1.0,1,1,43,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
43,1.0,44,1,False,1.0,0.0,1,1,44,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
44,1.0,45,1,False,1.0,1.0,1,1,45,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
45,1.0,46,1,False,1.0,0.0,1,1,46,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
46,1.0,47,1,False,1.0,1.0,1,1,47,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
47,1.0,48,1,False,1.0,1.0,1,1,48,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
48,1.0,49,1,False,1.0,1.0,1,1,49,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
49,1.0,50,1,False,1.0,0.0,1,1,50,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
50,1.0,51,1,False,1.0,0.0,1,1,51,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
51,1.0,52,1,False,1.0,0.0,1,1,52,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
52,1.0,53,1,False,2.0,1.0,0,1,53,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
53,2.0,54,1,False,2.0,1.0,0,1,54,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
54,2.0,55,1,False,2.0,1.0,0,1,55,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
55,2.0,56,1,False,2.0,1.0,0,1,56,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
56,2.0,57,1,False,2.0,0.0,0,1,57,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
57,2.0,58,1,False,2.0,1.0,0,1,58,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
58,2.0,59,1,False,2.0,0.0,0,1,59,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
59,2.0,60,1,False,2.0,1.0,0,1,60,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
60,2.0,61,1,False,2.0,0.0,0,1,61,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
61,2.0,62,1,False,2.0,1.0,0,1,62,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
62,2.0,63,1,False,2.0,0.0,0,1,63,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
63,2.0,64,1,False,2.0,1.0,0,1,64,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
64,2.0,65,1,False,2.0,1.0,0,1,65,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
65,2.0,66,1,False,2.0,1.0,0,1,66,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
66,2.0,67,1,False,2.0,0.0,0,1,67,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
67,2.0,68,1,False,2.0,1.0,0,1,68,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
68,2.0,69,1,False,2.0,1.0,0,1,69,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
69,2.0,70,1,False,2.0,1.0,0,1,70,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
70,2.0,71,1,False,2.0,0.0,0,1,71,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
71,2.0,72,1,False,2.0,0.0,0,1,72,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
72,2.0,73,1,False,2.0,0.0,0,1,73,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
73,2.0,74,1,False,1.0,1.0,1,1,74,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
74,1.0,75,1,False,1.0,1.0,1,1,75,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
75,1.0,76,1,False,1.0,1.0,1,1,76,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
76,1.0,77,1,False,1.0,1.0,1,1,77,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
77,1.0,78,1,False,1.0,0.0,1,1,78,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
78,1.0,79,1,False,1.0,1.0,1,1,79,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
79,1.0,80,1,False,1.0,1.0,1,1,80,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
80,1.0,81,1,False,1.0,1.0,1,1,81,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
81,1.0,82,1,False,1.0,0.0,1,1,82,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
82,1.0,83,1,False,1.0,1.0,1,1,83,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
83,1.0,84,1,False,1.0,0.0,1,1,84,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
84,1.0,85,1,False,1.0,1.0,1,1,85,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
85,1.0,86,1,False,1.0,1.0,1,1,86,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
86,1.0,87,1,False,1.0,0.0,1,1,87,0,[2 1],,[1. 0.],1,0.0,[0. 0.],0.6,0.4
87,1.0,88,1,False,1.0,1.0,1,1,88,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
88,1.0,89,1,False,1.0,0.0,1,1,89,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
89,1.0,90,1,False,1.0,0.0,1,1,90,0,[2 1],,[1. 1.],1,0.0,[0. 0.],0.6,0.4
90,1.0,91,1,False,2.0,1.0,0,1,91,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
91,2.0,92,1,False,2.0,0.0,0,1,92,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
92,2.0,93,1,False,1.0,0.0,1,1,93,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
93,1.0,94,1,False,2.0,0.0,0,1,94,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
94,2.0,95,1,False,1.0,0.0,1,1,95,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
95,1.0,96,1,False,2.0,0.0,0,1,96,0,[2 1],,[1. 1.],1,0.0,[0. 0.],0.6,0.4
96,2.0,97,1,False,1.0,1.0,1,1,97,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
97,1.0,98,1,False,1.0,0.0,1,1,98,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
98,1.0,99,1,False,1.0,0.0,1,1,99,0,[2 1],,[1. 1.],1,0.0,[0. 0.],0.6,0.4
99,1.0,100,1,False,1.0,1.0,1,1,100,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
100,1.0,101,1,False,1.0,0.0,1,1,101,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
101,1.0,102,1,False,1.0,0.0,1,1,102,0,[2 1],,[1. 0.],1,0.0,[0. 0.],0.6,0.4
102,1.0,103,1,False,2.0,0.0,0,1,103,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
103,2.0,104,1,False,2.0,1.0,0,1,104,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
104,2.0,105,1,False,2.0,1.0,0,1,105,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
105,2.0,106,1,False,2.0,0.0,0,1,106,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
106,2.0,107,1,False,2.0,0.0,0,1,107,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
107,2.0,108,1,False,1.0,0.0,1,1,108,0,[2 1],,[1. 1.],1,0.0,[0. 0.],0.6,0.4
108,1.0,109,1,False,2.0,1.0,0,1,109,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
109,2.0,110,1,False,2.0,0.0,0,1,110,0,[2 1],,[1. 1.],1,0.0,[0. 0.],0.6,0.4
110,2.0,111,1,False,2.0,1.0,0,1,111,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
111,2.0,112,1,False,2.0,0.0,0,1,112,0,[2 1],,[1. 1.],1,0.0,[0. 0.],0.6,0.4
112,2.0,113,1,False,2.0,1.0,0,1,113,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
113,2.0,114,1,False,2.0,0.0,0,1,114,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
114,2.0,115,1,False,1.0,0.0,1,1,115,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
115,1.0,116,1,False,2.0,1.0,0,1,116,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
116,2.0,117,1,False,2.0,1.0,0,1,117,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
117,2.0,118,1,False,2.0,1.0,0,1,118,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
118,2.0,119,1,False,2.0,0.0,0,1,119,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
119,2.0,120,1,False,2.0,1.0,0,1,120,0,[2 1],,[1. 0.],1,0.0,[0. 0.],0.6,0.4
120,2.0,121,1,False,2.0,0.0,0,1,121,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
121,2.0,122,1,False,2.0,1.0,0,1,122,0,[2 1],,[1. 0.],1,0.0,[0. 0.],0.6,0.4
122,2.0,123,1,False,2.0,0.0,0,1,123,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
123,2.0,124,1,False,2.0,1.0,0,1,124,0,[2 1],,[1. 0.],1,0.0,[0. 0.],0.6,0.4
124,2.0,125,1,False,2.0,0.0,0,1,125,0,[2 1],,[1. 0.],1,0.0,[0. 0.],0.6,0.4
125,2.0,126,1,False,2.0,0.0,0,1,126,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
126,2.0,127,1,False,1.0,0.0,1,1,127,0,[2 1],,[1. 0.],1,0.0,[0. 0.],0.6,0.4
127,1.0,128,1,False,1.0,1.0,1,1,128,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
128,1.0,129,1,False,1.0,0.0,1,1,129,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
129,1.0,130,1,False,1.0,0.0,1,1,130,0,[2 1],,[1. 1.],1,0.0,[0. 0.],0.6,0.4
130,1.0,131,1,False,2.0,1.0,0,1,131,0,[2 1],,[1. 1.],1,0.0,[0. 0.],0.6,0.4
131,2.0,132,1,False,2.0,1.0,0,1,132,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
132,2.0,133,1,False,2.0,1.0,0,1,133,0,[2 1],,[1. 0.],1,0.0,[0. 0.],0.6,0.4
133,2.0,134,1,False,2.0,0.0,0,1,134,0,[2 1],,[1. 0.],1,0.0,[0. 0.],0.6,0.4
134,2.0,135,1,False,2.0,0.0,0,1,135,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
135,2.0,136,1,False,2.0,1.0,0,1,136,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
136,2.0,137,1,False,2.0,0.0,0,1,137,0,[2 1],,[1. 1.],1,0.0,[0. 0.],0.6,0.4
137,2.0,138,1,False,2.0,1.0,0,1,138,0,[2 1],,[1. 1.],1,0.0,[0. 0.],0.6,0.4
138,2.0,139,1,False,2.0,1.0,0,1,139,0,[2 1],,[0. 0.],1,0.0,[0. 0.],0.6,0.4
139,2.0,140,1,False,2.0,0.0,0,1,140,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
140,2.0,141,1,False,2.0,1.0,0,1,141,0,[2 1],,[1. 1.],1,0.0,[0. 0.],0.6,0.4
141,2.0,142,1,False,2.0,1.0,0,1,142,0,[2 1],,[1. 0.],1,0.0,[0. 0.],0.6,0.4
142,2.0,143,1,False,2.0,0.0,0,1,143,0,[2 1],,[0. 1.],1,0.0,[0. 0.],0.6,0.4
143,2.0,144,1,False,2.0,1.0,0,1,144,0,[2 1],,[1. 0.],1,0.0,[0. 0.],0.6,0.4
144,2.0,145,1,False,2.0,0.0,0,1,145,0,[2 1],,[1. 1.],1,0.0,[0. 0.],0.6,0.4
145,2.0,146,1,False,2.0,1.0,0,1,146,0,[2 1],,[1. 1.],1,0.0,[0. 0.],0.6,0.4
146,2.0,147,1,False,2.0,1.0,0,1,147,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
147,2.0,148,1,False,2.0,1.0,0,1,148,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
148,2.0,149,1,False,2.0,0.0,0,1,149,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
149,2.0,150,1,False,2.0,0.0,0,1,150,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
150,2.0,151,1,False,2.0,0.0,0,1,151,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
151,2.0,152,1,False,1.0,1.0,1,1,152,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
152,1.0,153,1,False,1.0,0.0,1,1,153,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
153,1.0,154,1,False,1.0,1.0,1,1,154,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
154,1.0,155,1,False,1.0,0.0,1,1,155,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
155,1.0,156,1,False,1.0,0.0,1,1,156,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
156,1.0,157,1,False,1.0,1.0,1,1,157,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
157,1.0,158,1,False,1.0,1.0,1,1,158,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
158,1.0,159,1,False,1.0,1.0,1,1,159,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
159,1.0,160,1,False,1.0,1.0,1,1,160,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
160,1.0,161,1,False,1.0,1.0,1,1,161,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
161,1.0,162,1,False,1.0,0.0,1,1,162,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
162,1.0,163,1,False,1.0,1.0,1,1,163,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
163,1.0,164,1,False,1.0,1.0,1,1,164,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
164,1.0,165,1,False,1.0,1.0,1,1,165,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
165,1.0,166,1,False,1.0,1.0,1,1,166,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
166,1.0,167,1,False,1.0,0.0,1,1,167,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
167,1.0,168,1,False,1.0,1.0,1,1,168,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
168,1.0,169,1,False,1.0,0.0,1,1,169,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
169,1.0,170,1,False,1.0,1.0,1,1,170,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
170,1.0,171,1,False,1.0,0.0,1,1,171,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
171,1.0,172,1,False,1.0,1.0,1,1,172,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
172,1.0,173,1,False,1.0,0.0,1,1,173,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
173,1.0,174,1,False,1.0,1.0,1,1,174,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
174,1.0,175,1,False,1.0,1.0,1,1,175,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
175,1.0,176,1,False,1.0,1.0,1,1,176,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
176,1.0,177,1,False,1.0,1.0,1,1,177,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
177,1.0,178,1,False,1.0,1.0,1,1,178,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
178,1.0,179,1,False,1.0,0.0,1,1,179,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
179,1.0,180,1,False,1.0,0.0,1,1,180,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
180,1.0,181,1,False,1.0,0.0,1,1,181,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
181,1.0,182,1,False,1.0,1.0,1,1,182,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
182,1.0,183,1,False,1.0,0.0,1,1,183,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
183,1.0,184,1,False,1.0,0.0,1,1,184,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
184,1.0,185,1,False,2.0,0.0,0,1,185,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
185,2.0,186,1,False,1.0,1.0,1,1,186,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
186,1.0,187,1,False,1.0,1.0,1,1,187,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
187,1.0,188,1,False,1.0,1.0,1,1,188,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
188,1.0,189,1,False,1.0,0.0,1,1,189,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
189,1.0,190,1,False,1.0,1.0,1,1,190,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
190,1.0,191,1,False,1.0,0.0,1,1,191,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
191,1.0,192,1,False,1.0,0.0,1,1,192,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
192,1.0,193,1,False,1.0,1.0,1,1,193,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
193,1.0,194,1,False,1.0,0.0,1,1,194,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
194,1.0,195,1,False,1.0,1.0,1,1,195,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
195,1.0,196,1,False,1.0,1.0,1,1,196,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
196,1.0,197,1,False,1.0,1.0,1,1,197,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
197,1.0,198,1,False,1.0,1.0,1,1,198,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
198,1.0,199,1,False,1.0,1.0,1,1,199,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
199,1.0,200,1,False,1.0,1.0,1,1,200,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
200,1.0,201,1,False,1.0,0.0,1,1,201,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
201,1.0,202,1,False,1.0,0.0,1,1,202,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
202,1.0,203,1,False,1.0,1.0,1,1,203,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
203,1.0,204,1,False,1.0,1.0,1,1,204,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
204,1.0,205,1,False,1.0,1.0,1,1,205,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
205,1.0,206,1,False,1.0,1.0,1,1,206,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
206,1.0,207,1,False,1.0,0.0,1,1,207,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
207,1.0,208,1,False,1.0,0.0,1,1,208,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
208,1.0,209,1,False,1.0,1.0,1,1,209,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
209,1.0,210,1,False,1.0,0.0,1,1,210,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
210,1.0,211,1,False,1.0,1.0,1,1,211,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
211,1.0,212,1,False,1.0,0.0,1,1,212,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
212,1.0,213,1,False,1.0,1.0,1,1,213,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
213,1.0,214,1,False,1.0,0.0,1,1,214,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
214,1.0,215,1,False,1.0,1.0,1,1,215,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
215,1.0,216,1,False,1.0,1.0,1,1,216,0,[2 1],,[0. 1.],0,0.0,[0. 0.],0.6,0.4
216,1.0,217,1,False,1.0,0.0,1,1,217,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
217,1.0,218,1,False,1.0,0.0,1,1,218,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
218,1.0,219,1,False,1.0,1.0,1,1,219,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
219,1.0,220,1,False,1.0,0.0,1,1,220,0,[2 1],,[1. 0.],0,0.0,[0. 0.],0.6,0.4
220,1.0,221,1,False,1.0,1.0,1,1,221,0,[2 1],,[0. 0.],0,0.0,[0. 0.],0.6,0.4
221,1.0,222,1,False,1.0,0.0,1,1,222,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
222,1.0,223,1,False,1.0,1.0,1,1,223,0,[2 1],,[1. 1.],0,0.0,[0. 0.],0.6,0.4
