,tot_t,obs_next,reward,obs,t,stage,action,blockID,trialID,is_done,randomplanet,rewardplanet,highstate,transition,p_trans,p_reward_high,p_reward_low,p_ambiguity
56,57,1.0,0.0,0.0,1,0,1,1,29.0,False,0.0,[0. 1.],0,[1 2],[0.9 0.9],0.7,0.30000000000000004,0.6
57,58,0.0,0.0,1.0,0,1,0,1,29.0,False,,[1. 0.],0,[1 2],[0.9 0.9],0.7,0.30000000000000004,0.6
58,59,1.0,0.0,0.0,1,0,1,1,30.0,False,,[1. 0.],0,[1 2],[0.9 0.9],0.7,0.30000000000000004,0.6
59,60,0.0,1.0,1.0,0,1,0,1,30.0,True,,[0. 1.],0,[1 2],[0.9 0.9],0.7,0.30000000000000004,0.6
0,1,2.0,0.0,0.0,1,0,1,1,1.0,False,1.0,[0. 1.],1,[1 2],[0.9 0.9],0.7,0.30000000000000004,0.6
1,2,0.0,0.0,2.0,0,1,0,1,1.0,False,,[0. 1.],1,[1 2],[0.9 0.9],0.7,0.30000000000000004,0.6
2,3,1.0,0.0,0.0,1,0,1,1,2.0,False,,[0. 1.],1,[1 2],[0.9 0.9],0.7,0.30000000000000004,0.6
3,4,0.0,0.0,1.0,0,1,0,1,2.0,False,,[0. 1.],1,[1 2],[0.9 0.9],0.7,0.30000000000000004,0.6
4,5,2.0,0.0,0.0,1,0,2,1,3.0,False,,[0. 1.],1,[1 2],[0.9 0.9],0.7,0.30000000000000004,0.6
5,6,0.0,1.0,2.0,0,1,0,1,3.0,False,,[0. 1.],1,[1 2],[0.9 0.9],0.7,0.30000000000000004,0.6
